OLD OI,Lot,Top-3,O-Cost,Cost,O-Avg,Symbol,D.QTY,QTY,% Top-3,% O-Cost,% Cost,% Avg,Current,Diff
15504,700,1193.1068918223898,1217.5531286112112,1220.599572393492,1286.2186314114335,HCLTECH,0.0,0.0,0.06863853418240175,0.002502103366738334,0.044568611063686786,-0.008722180768850127,1275,1275,False
16408,300,2448.817882935803,2461.6265710308535,2470.03104211163,2644.9252859170215,HDFCAMC,0.0,0.0,0.08148099475040779,0.003414194167256274,0.07219300277940026,0.00129482450835697,2648.35,2648.35,False
203010,550,1596.5991739254032,1603.8949650195873,1605.7740457574635,1644.6439189038156,HDFCBANK,0.0,0.0,-0.024144553344986476,0.0011715734376990313,-0.029720274707112655,-0.052652077394073245,1558.05,1558.05,False
14758,1100,635.8031068708,647.489855954555,647.6353596405179,649.7582634435125,HDFCLIFE,0.0,0.0,0.014150439077719405,0.00022471963788284294,-0.0043780185845500395,-0.0076309355686149435,644.8,644.8,False
12329,300,2953.8869295151867,2974.8251107662973,2975.7913512417153,2997.4531992176585,HEROMOTOCO,0.0,0.0,0.013850587873222499,0.00032480580855699176,0.006387762619967644,-0.0008851511737867341,2994.8,2994.8,False
19368,1400,490.8133286810886,473.7445430543627,477.5875101500111,502.1544480685858,HINDALCO,0.0,0.0,-0.022540807338745097,0.0081118973336806,0.0045279447306100186,-0.04461664763651705,479.75,479.75,False
5809,5300,163.57099647396032,162.474754539237,162.46494741631298,159.91770373344036,HINDCOPPER,0.0,0.0,-0.06126389573933788,-6.036090315595478e-05,-0.05487305143717313,-0.03981862911222381,153.55,153.55,False
17956,2700,260.31377830233885,259.43401999940625,259.3568095483495,257.8183865683866,HINDPETRO,0.0,0.0,0.01377653430813005,-0.00029761112693296043,0.0175171435042023,0.023588749865984585,263.9,263.9,False
31573,300,2526.9317314513014,2532.095856340398,2530.513397542436,2507.1212121212116,HINDUNILVR,0.0,0.0,-0.019878547103625875,-0.0006249600677633776,-0.021265802265539573,-0.012133921556777514,2476.7,2476.7,False
10535,5100,189.3459227456145,188.76807533066085,188.77169208653598,190.96907993966818,IBULHSGFIN,0.0,0.0,-0.001298801379234891,1.9159785725384886e-05,0.0017391797988096356,-0.009787343271793899,189.1,189.1,False
118434,700,976.0265552695611,974.5342612070407,975.296296756594,990.5317192167707,ICICIBANK,0.0,0.0,-0.014575992008364975,0.0007819484443876107,-0.013838150315423884,-0.02900635957371402,961.8,961.8,False
6014,500,1345.3457452633882,1347.4314895077887,1348.3508858470013,1369.2734375,ICICIGI,0.0,0.0,0.008142334247667471,0.0006823325314658522,0.005895434368335937,-0.00947468719154208,1356.3,1356.3,False
4211,1500,555.2902509438153,556.6638940154056,556.9672761701877,569.125,ICICIPRULI,0.0,0.0,0.020637403658189224,0.0005450005973868222,0.01756427037703215,-0.00417307269931913,566.75,566.75,False
13272,80000,10.076913057002876,9.922649158264894,9.95310777084515,10.974324324324325,IDEA,0.0,0.0,0.08168046487462008,0.003069604910386881,0.09513533370235437,-0.006772564955054817,10.9,10.9,False
9756,10000,124.50716316088685,124.76947641109949,124.7826938022149,125.29786407766991,IDFC,0.0,0.0,0.017612133980432876,0.00010593449211772342,0.015365161140246813,0.011190421581815074,126.7,126.7,False
16593,15000,90.59796802498184,91.62910402817039,91.67450133507437,93.05937060478199,IDFCFIRSTB,0.0,0.0,0.0314800876575039,0.0004954463692018871,0.019367421028406894,0.004197636333443464,93.45,93.45,False
17007,3750,139.573830438262,135.15335116368408,135.15382830793615,135.23333333333332,IEX,0.0,0.0,-0.056055138801415494,3.5303915734622758e-06,-0.02518484567215386,-0.025757949223564114,131.75,131.75,False
9355,1375,467.2898153370773,467.038012686684,467.09186652708433,468.47641796637157,IGL,0.0,0.0,-0.021485200420717766,0.00011530933015609673,-0.021070515742996038,-0.02396367786260147,457.25,457.25,False
8983,2000,421.3640257904965,417.2477914542803,417.41779321275413,420.52049057732575,INDHOTEL,0.0,0.0,-0.03456399905799686,0.00040743596959814406,-0.025436848609235802,-0.03262740076824579,406.8,406.8,False
6761,2900,252.90562743467055,250.93197836998618,250.92629940940168,250.18323474246142,INDIACEM,0.0,0.0,-0.09175607387646972,-2.2631474160422386e-05,-0.08459176841710672,-0.08187293110806115,229.7,229.7,False
1771,300,3160.3029706866023,3143.936374759657,3142.22981444333,3104.822796934866,INDIAMART,0.0,0.0,-0.05445774417293025,-0.0005428100676680524,-0.049019270880611115,-0.03756182061340122,2988.2,2988.2,False
16971,300,2471.961256530722,2477.3858921161823,2476.5264953512515,2463.2875684597498,INDIGO,0.0,0.0,-0.03190230280607233,-0.00034689660890767024,-0.033686897962874,-0.02849345296036098,2393.1,2393.1,False
41506,500,1410.1280759582894,1420.911769670033,1422.7431862731937,1461.2213356973996,INDUSINDBK,0.0,0.0,0.0034904092228400826,0.00128890240918057,-0.0054072908922837195,-0.031597770008855885,1415.05,1415.05,False
27422,3400,179.0459319743456,179.9338072257728,180.11774793222332,184.3042155848896,INDUSTOWER,0.0,0.0,-0.002211343033486609,0.0010222687403025246,-0.008148824583214411,-0.03067871001727186,178.65,178.65,False
55854,400,1440.852593877665,1455.4475620084147,1458.604942556956,1507.7974101628297,INFY,0.0,0.0,0.039558110499660376,0.0021693536963876643,0.026905885410100604,-0.006597312142720516,1497.85,1497.85,False
11446,9750,93.96092505905501,92.51156172681063,92.63908034591586,94.60298378144206,IOC,0.0,0.0,-0.01129113041818406,0.0013784073766022627,0.0028165181812024663,-0.018001374939467032,92.9,92.9,False
2047,650,888.335087204789,889.2374425707759,889.6101452982284,899.7034291010194,IPCALAB,0.0,0.0,0.0125120722521328,0.0004191262193987697,0.011060861607499951,-0.00028168071035652694,899.45,899.45,False
19190,875,725.691682104699,702.3476902818132,702.1858527720511,698.0679836473313,IRCTC,0.0,0.0,-0.0746759036117497,-0.0002304236377529367,-0.04370047139359358,-0.03805930692955776,671.5,671.5,False
43836,1600,447.87222643022636,446.9239154500451,447.2741334926909,451.74665555367994,ITC,0.0,0.0,-0.00038454367130354947,0.0007836189349883609,0.0009521375716130928,-0.008957798588946278,447.7,447.7,False
18629,1250,684.1513293818798,688.0356868831087,689.4649555498518,711.7362739408009,JINDALSTEL,0.0,0.0,0.008694963179410542,0.0020773176362665355,0.000921068496718308,-0.030399285146734626,690.1,690.1,False
2578,250,3372.957928802589,3302.876247109349,3304.5847601128885,3336.5086419753093,JKCEMENT,0.0,0.0,-0.04650456131193846,0.0005172803567904231,-0.026776362700972403,-0.036088215226088544,3216.1,3216.1,False
13542,1350,817.8061757062803,807.7220374447122,808.5077291274324,818.382374469331,JSWSTEEL,0.0,0.0,-0.048001808830041716,0.0009727253266554317,-0.037053114086817454,-0.04867208252763242,778.55,778.55,False
14117,1250,513.004097909791,509.19145662808444,509.46649029982365,517.1323283082078,JUBLFOOD,0.0,0.0,0.038783125069124874,0.0005401380328737418,0.04599617471678184,0.030490593661734417,532.9,532.9,False
62870,400,1796.6763484721569,1793.273596055512,1794.4874219231278,1823.6136828769127,KOTAKBANK,0.0,0.0,-0.020552587840073695,0.0006768771203043739,-0.019357851996477198,-0.03502040123770185,1759.75,1759.75,False
7356,8924,128.36702037231717,127.50910124235833,127.60116459918167,129.99306895975903,L&TFH,0.0,0.0,-0.04025193042052922,0.000722014004697276,-0.03449157077058444,-0.052257162740437374,123.2,123.2,False
